sample_id,cell_id,compound_id,subtype,oncotree_lineage,role
S001650,CL0009,CMP0146,Lung Adenocarcinoma,Lung,train
S001654,CL0009,CMP0150,Lung Adenocarcinoma,Lung,train
S001655,CL0009,CMP0151,Lung Adenocarcinoma,Lung,train
S001657,CL0009,CMP0153,Lung Adenocarcinoma,Lung,train
S001658,CL0009,CMP0154,Lung Adenocarcinoma,Lung,train
S001659,CL0009,CMP0155,Lung Adenocarcinoma,Lung,train
S001660,CL0009,CMP0156,Lung Adenocarcinoma,Lung,train
S001661,CL0009,CMP0157,Lung Adenocarcinoma,Lung,train
S001662,CL0009,CMP0158,Lung Adenocarcinoma,Lung,train
S001663,CL0009,CMP0159,Lung Adenocarcinoma,Lung,train
S001664,CL0009,CMP0160,Lung Adenocarcinoma,Lung,train
S001665,CL0009,CMP0161,Lung Adenocarcinoma,Lung,train
S001666,CL0009,CMP0162,Lung Adenocarcinoma,Lung,train
S001667,CL0009,CMP0163,Lung Adenocarcinoma,Lung,train
S001669,CL0009,CMP0165,Lung Adenocarcinoma,Lung,train
S001670,CL0009,CMP0166,Lung Adenocarcinoma,Lung,train
S001671,CL0009,CMP0167,Lung Adenocarcinoma,Lung,train
S001672,CL0009,CMP0168,Lung Adenocarcinoma,Lung,train
S001673,CL0009,CMP0169,Lung Adenocarcinoma,Lung,train
S001674,CL0009,CMP0170,Lung Adenocarcinoma,Lung,train
S001675,CL0009,CMP0171,Lung Adenocarcinoma,Lung,train
S001676,CL0009,CMP0172,Lung Adenocarcinoma,Lung,train
S001677,CL0009,CMP0173,Lung Adenocarcinoma,Lung,train
S001679,CL0009,CMP0175,Lung Adenocarcinoma,Lung,train
S001680,CL0009,CMP0176,Lung Adenocarcinoma,Lung,train
S001681,CL0009,CMP0177,Lung Adenocarcinoma,Lung,train
S001682,CL0009,CMP0178,Lung Adenocarcinoma,Lung,train
S001683,CL0009,CMP0179,Lung Adenocarcinoma,Lung,train
S001684,CL0009,CMP0180,Lung Adenocarcinoma,Lung,train
S001685,CL0009,CMP0181,Lung Adenocarcinoma,Lung,train
S001686,CL0009,CMP0182,Lung Adenocarcinoma,Lung,train
S001687,CL0009,CMP0183,Lung Adenocarcinoma,Lung,train
S001689,CL0009,CMP0185,Lung Adenocarcinoma,Lung,train
S001690,CL0009,CMP0186,Lung Adenocarcinoma,Lung,train
S001691,CL0009,CMP0187,Lung Adenocarcinoma,Lung,train
S001692,CL0009,CMP0188,Lung Adenocarcinoma,Lung,train
S001693,CL0009,CMP0189,Lung Adenocarcinoma,Lung,train
S001694,CL0009,CMP0190,Lung Adenocarcinoma,Lung,train
S001695,CL0009,CMP0191,Lung Adenocarcinoma,Lung,train
S001696,CL0009,CMP0192,Lung Adenocarcinoma,Lung,train
S001697,CL0009,CMP0193,Lung Adenocarcinoma,Lung,train
S001698,CL0009,CMP0194,Lung Adenocarcinoma,Lung,train
S001699,CL0009,CMP0195,Lung Adenocarcinoma,Lung,train
S001700,CL0009,CMP0196,Lung Adenocarcinoma,Lung,train
S001701,CL0009,CMP0197,Lung Adenocarcinoma,Lung,train
S001703,CL0009,CMP0200,Lung Adenocarcinoma,Lung,train
S001704,CL0009,CMP0201,Lung Adenocarcinoma,Lung,train
S001705,CL0009,CMP0203,Lung Adenocarcinoma,Lung,train
S001706,CL0009,CMP0208,Lung Adenocarcinoma,Lung,train
S001707,CL0009,CMP0209,Lung Adenocarcinoma,Lung,train
S001708,CL0009,CMP0210,Lung Adenocarcinoma,Lung,train
S001709,CL0009,CMP0211,Lung Adenocarcinoma,Lung,train
S001711,CL0009,CMP0213,Lung Adenocarcinoma,Lung,train
S001712,CL0009,CMP0215,Lung Adenocarcinoma,Lung,train
S001713,CL0009,CMP0218,Lung Adenocarcinoma,Lung,train
S001714,CL0009,CMP0220,Lung Adenocarcinoma,Lung,train
S001715,CL0009,CMP0221,Lung Adenocarcinoma,Lung,train
S001716,CL0009,CMP0222,Lung Adenocarcinoma,Lung,train
S001717,CL0009,CMP0223,Lung Adenocarcinoma,Lung,train
S001718,CL0009,CMP0230,Lung Adenocarcinoma,Lung,train
S001719,CL0009,CMP0231,Lung Adenocarcinoma,Lung,train
S001720,CL0009,CMP0232,Lung Adenocarcinoma,Lung,train
S001721,CL0009,CMP0233,Lung Adenocarcinoma,Lung,train
S001722,CL0009,CMP0234,Lung Adenocarcinoma,Lung,train
S001723,CL0009,CMP0235,Lung Adenocarcinoma,Lung,train
S001724,CL0009,CMP0236,Lung Adenocarcinoma,Lung,train
S001725,CL0009,CMP0237,Lung Adenocarcinoma,Lung,train
S003711,CL0020,CMP0001,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003712,CL0020,CMP0005,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003713,CL0020,CMP0006,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003714,CL0020,CMP0007,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003715,CL0020,CMP0008,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003716,CL0020,CMP0009,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003717,CL0020,CMP0010,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003720,CL0020,CMP0013,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003721,CL0020,CMP0014,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003722,CL0020,CMP0015,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003723,CL0020,CMP0016,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003724,CL0020,CMP0017,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003725,CL0020,CMP0018,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003726,CL0020,CMP0019,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003727,CL0020,CMP0020,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003728,CL0020,CMP0021,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003729,CL0020,CMP0022,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003730,CL0020,CMP0023,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003731,CL0020,CMP0024,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003734,CL0020,CMP0027,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003735,CL0020,CMP0028,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003736,CL0020,CMP0029,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003737,CL0020,CMP0030,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003738,CL0020,CMP0031,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003741,CL0020,CMP0034,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003742,CL0020,CMP0035,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003743,CL0020,CMP0036,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003744,CL0020,CMP0037,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003745,CL0020,CMP0038,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003746,CL0020,CMP0039,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003747,CL0020,CMP0040,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003748,CL0020,CMP0041,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003749,CL0020,CMP0042,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003750,CL0020,CMP0043,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003751,CL0020,CMP0044,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003752,CL0020,CMP0045,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003753,CL0020,CMP0046,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003754,CL0020,CMP0048,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003755,CL0020,CMP0049,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003756,CL0020,CMP0050,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003758,CL0020,CMP0053,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003759,CL0020,CMP0054,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003760,CL0020,CMP0055,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003761,CL0020,CMP0056,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003762,CL0020,CMP0057,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003763,CL0020,CMP0058,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003764,CL0020,CMP0059,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003765,CL0020,CMP0060,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003766,CL0020,CMP0061,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003767,CL0020,CMP0062,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003768,CL0020,CMP0063,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003769,CL0020,CMP0064,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003770,CL0020,CMP0065,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003772,CL0020,CMP0067,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003773,CL0020,CMP0068,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003774,CL0020,CMP0070,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003776,CL0020,CMP0072,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003777,CL0020,CMP0073,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003778,CL0020,CMP0074,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003779,CL0020,CMP0075,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003780,CL0020,CMP0076,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003781,CL0020,CMP0077,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003782,CL0020,CMP0078,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003783,CL0020,CMP0079,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003785,CL0020,CMP0081,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003786,CL0020,CMP0082,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003787,CL0020,CMP0083,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003788,CL0020,CMP0084,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003789,CL0020,CMP0085,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003790,CL0020,CMP0086,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003791,CL0020,CMP0087,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003793,CL0020,CMP0089,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003794,CL0020,CMP0090,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003795,CL0020,CMP0091,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003796,CL0020,CMP0092,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003797,CL0020,CMP0098,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003799,CL0020,CMP0100,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003800,CL0020,CMP0101,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003802,CL0020,CMP0103,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003803,CL0020,CMP0104,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003804,CL0020,CMP0105,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003805,CL0020,CMP0106,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003807,CL0020,CMP0108,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003808,CL0020,CMP0109,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003809,CL0020,CMP0110,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003811,CL0020,CMP0112,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003812,CL0020,CMP0113,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003813,CL0020,CMP0114,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003814,CL0020,CMP0115,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003816,CL0020,CMP0121,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003817,CL0020,CMP0122,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003818,CL0020,CMP0123,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003819,CL0020,CMP0124,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003820,CL0020,CMP0125,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003821,CL0020,CMP0126,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003822,CL0020,CMP0127,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003823,CL0020,CMP0128,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003824,CL0020,CMP0129,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003825,CL0020,CMP0130,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003826,CL0020,CMP0131,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003828,CL0020,CMP0133,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003829,CL0020,CMP0134,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003830,CL0020,CMP0135,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003832,CL0020,CMP0137,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003833,CL0020,CMP0138,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003834,CL0020,CMP0139,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003836,CL0020,CMP0145,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003837,CL0020,CMP0146,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003838,CL0020,CMP0171,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003839,CL0020,CMP0172,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003840,CL0020,CMP0173,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003842,CL0020,CMP0175,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003843,CL0020,CMP0176,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003844,CL0020,CMP0177,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003845,CL0020,CMP0178,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003846,CL0020,CMP0179,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003847,CL0020,CMP0180,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003848,CL0020,CMP0181,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003849,CL0020,CMP0182,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003850,CL0020,CMP0183,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003852,CL0020,CMP0185,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003853,CL0020,CMP0186,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003854,CL0020,CMP0187,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003855,CL0020,CMP0188,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003856,CL0020,CMP0189,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003857,CL0020,CMP0190,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003858,CL0020,CMP0191,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003859,CL0020,CMP0192,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003860,CL0020,CMP0193,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003861,CL0020,CMP0194,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003862,CL0020,CMP0195,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003863,CL0020,CMP0196,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003864,CL0020,CMP0197,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003866,CL0020,CMP0200,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003867,CL0020,CMP0201,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003868,CL0020,CMP0203,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003869,CL0020,CMP0208,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003870,CL0020,CMP0209,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003871,CL0020,CMP0210,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003872,CL0020,CMP0211,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003874,CL0020,CMP0213,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003875,CL0020,CMP0215,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003876,CL0020,CMP0218,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003877,CL0020,CMP0220,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003878,CL0020,CMP0221,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003879,CL0020,CMP0222,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003880,CL0020,CMP0223,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003881,CL0020,CMP0230,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003882,CL0020,CMP0231,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003883,CL0020,CMP0232,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003884,CL0020,CMP0233,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003885,CL0020,CMP0234,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003886,CL0020,CMP0235,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003887,CL0020,CMP0236,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003888,CL0020,CMP0237,Oral Cavity Squamous Cell Carcinoma,Head and Neck,train
S003889,CL0021,CMP0001,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003890,CL0021,CMP0002,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003891,CL0021,CMP0003,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003892,CL0021,CMP0004,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003893,CL0021,CMP0005,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003894,CL0021,CMP0006,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003895,CL0021,CMP0008,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003896,CL0021,CMP0009,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003897,CL0021,CMP0010,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003900,CL0021,CMP0013,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003901,CL0021,CMP0014,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003902,CL0021,CMP0015,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003903,CL0021,CMP0016,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
S003904,CL0021,CMP0017,Serous Ovarian Cancer,Ovary/Fallopian Tube,train
