sample_id,cell_id,compound_id,role
S001637,CL0009,CMP0133,test
S001638,CL0009,CMP0134,train
S001639,CL0009,CMP0135,train
S001640,CL0009,CMP0136,train
S001642,CL0009,CMP0138,train
S001643,CL0009,CMP0139,train
S001644,CL0009,CMP0140,test
S001645,CL0009,CMP0141,test
S001647,CL0009,CMP0143,train
S001648,CL0009,CMP0144,train
S001649,CL0009,CMP0145,train
S001651,CL0009,CMP0147,test
S001652,CL0009,CMP0148,train
S001653,CL0009,CMP0149,train
S001654,CL0009,CMP0150,train
S001655,CL0009,CMP0151,train
S001656,CL0009,CMP0152,train
S001657,CL0009,CMP0153,train
S001659,CL0009,CMP0155,test
S001660,CL0009,CMP0156,train
S001661,CL0009,CMP0157,train
S001662,CL0009,CMP0158,train
S001663,CL0009,CMP0159,train
S001664,CL0009,CMP0160,train
S001666,CL0009,CMP0162,test
S001667,CL0009,CMP0163,train
S001668,CL0009,CMP0164,train
S001669,CL0009,CMP0165,train
S001671,CL0009,CMP0167,train
S001673,CL0009,CMP0169,test
S001674,CL0009,CMP0170,train
S001675,CL0009,CMP0171,train
S001676,CL0009,CMP0172,test
S001677,CL0009,CMP0173,train
S001678,CL0009,CMP0174,train
S001679,CL0009,CMP0175,train
S001680,CL0009,CMP0176,train
S001681,CL0009,CMP0177,train
S001682,CL0009,CMP0178,train
S001685,CL0009,CMP0181,train
S001686,CL0009,CMP0182,test
S001687,CL0009,CMP0183,train
S001688,CL0009,CMP0184,train
S001689,CL0009,CMP0185,train
S001690,CL0009,CMP0186,train
S001691,CL0009,CMP0187,train
S001692,CL0009,CMP0188,train
S001693,CL0009,CMP0189,train
S001694,CL0009,CMP0190,train
S001696,CL0009,CMP0192,train
S001697,CL0009,CMP0193,test
S001698,CL0009,CMP0194,train
S001699,CL0009,CMP0195,train
S001700,CL0009,CMP0196,train
S001701,CL0009,CMP0197,train
S001702,CL0009,CMP0198,train
S001704,CL0009,CMP0201,train
S001705,CL0009,CMP0203,train
S001707,CL0009,CMP0209,train
S001709,CL0009,CMP0211,train
S001711,CL0009,CMP0213,train
S001713,CL0009,CMP0218,train
S001715,CL0009,CMP0221,train
S001716,CL0009,CMP0222,test
S001717,CL0009,CMP0223,test
S001718,CL0009,CMP0230,train
S001719,CL0009,CMP0231,train
S001720,CL0009,CMP0232,test
S001721,CL0009,CMP0233,train
S001722,CL0009,CMP0234,train
S001723,CL0009,CMP0235,train
S001725,CL0009,CMP0237,train
S003711,CL0020,CMP0001,train
S003713,CL0020,CMP0006,train
S003715,CL0020,CMP0008,train
S003717,CL0020,CMP0010,test
S003718,CL0020,CMP0011,train
S003721,CL0020,CMP0014,train
S003722,CL0020,CMP0015,train
S003723,CL0020,CMP0016,train
S003724,CL0020,CMP0017,train
S003725,CL0020,CMP0018,test
S003726,CL0020,CMP0019,test
S003727,CL0020,CMP0020,train
S003728,CL0020,CMP0021,train
S003730,CL0020,CMP0023,test
S003731,CL0020,CMP0024,test
S003732,CL0020,CMP0025,train
S003733,CL0020,CMP0026,train
S003734,CL0020,CMP0027,train
S003735,CL0020,CMP0028,test
S003736,CL0020,CMP0029,train
S003737,CL0020,CMP0030,train
S003738,CL0020,CMP0031,test
S003739,CL0020,CMP0032,train
S003740,CL0020,CMP0033,train
S003742,CL0020,CMP0035,train
S003743,CL0020,CMP0036,test
S003745,CL0020,CMP0038,train
S003746,CL0020,CMP0039,train
S003748,CL0020,CMP0041,train
S003749,CL0020,CMP0042,train
S003750,CL0020,CMP0043,test
S003751,CL0020,CMP0044,train
S003752,CL0020,CMP0045,train
S003753,CL0020,CMP0046,train
S003754,CL0020,CMP0048,test
S003755,CL0020,CMP0049,train
S003756,CL0020,CMP0050,train
S003757,CL0020,CMP0051,test
S003758,CL0020,CMP0053,train
S003759,CL0020,CMP0054,train
S003760,CL0020,CMP0055,train
S003762,CL0020,CMP0057,train
S003763,CL0020,CMP0058,train
S003764,CL0020,CMP0059,train
S003765,CL0020,CMP0060,train
S003766,CL0020,CMP0061,test
S003767,CL0020,CMP0062,train
S003768,CL0020,CMP0063,train
S003769,CL0020,CMP0064,train
S003770,CL0020,CMP0065,train
S003771,CL0020,CMP0066,train
S003772,CL0020,CMP0067,train
S003773,CL0020,CMP0068,train
S003776,CL0020,CMP0072,train
S003778,CL0020,CMP0074,train
S003779,CL0020,CMP0075,train
S003780,CL0020,CMP0076,train
S003781,CL0020,CMP0077,train
S003782,CL0020,CMP0078,train
S003783,CL0020,CMP0079,test
S003784,CL0020,CMP0080,test
S003785,CL0020,CMP0081,train
S003786,CL0020,CMP0082,train
S003787,CL0020,CMP0083,train
S003788,CL0020,CMP0084,train
S003789,CL0020,CMP0085,train
S003790,CL0020,CMP0086,train
S003791,CL0020,CMP0087,train
S003792,CL0020,CMP0088,train
S003793,CL0020,CMP0089,train
S003794,CL0020,CMP0090,train
S003795,CL0020,CMP0091,train
S003796,CL0020,CMP0092,train
S003797,CL0020,CMP0098,train
S003798,CL0020,CMP0099,train
S003799,CL0020,CMP0100,train
S003800,CL0020,CMP0101,train
S003801,CL0020,CMP0102,train
S003802,CL0020,CMP0103,train
S003803,CL0020,CMP0104,train
S003804,CL0020,CMP0105,train
S003805,CL0020,CMP0106,train
S003806,CL0020,CMP0107,train
S003807,CL0020,CMP0108,test
S003808,CL0020,CMP0109,train
S003810,CL0020,CMP0111,train
S003811,CL0020,CMP0112,train
S003812,CL0020,CMP0113,train
S003813,CL0020,CMP0114,train
S003814,CL0020,CMP0115,train
S003815,CL0020,CMP0120,train
S003816,CL0020,CMP0121,train
S003817,CL0020,CMP0122,train
S003818,CL0020,CMP0123,train
S003819,CL0020,CMP0124,train
S003820,CL0020,CMP0125,train
S003821,CL0020,CMP0126,train
S003822,CL0020,CMP0127,train
S003823,CL0020,CMP0128,test
S003825,CL0020,CMP0130,train
S003826,CL0020,CMP0131,train
S003827,CL0020,CMP0132,test
S003828,CL0020,CMP0133,test
S003829,CL0020,CMP0134,train
S003830,CL0020,CMP0135,test
S003831,CL0020,CMP0136,train
S003833,CL0020,CMP0138,train
S003834,CL0020,CMP0139,train
S003835,CL0020,CMP0140,train
S003836,CL0020,CMP0145,train
S003838,CL0020,CMP0171,test
S003839,CL0020,CMP0172,train
S003840,CL0020,CMP0173,train
S003841,CL0020,CMP0174,train
S003842,CL0020,CMP0175,train
S003843,CL0020,CMP0176,train
S003844,CL0020,CMP0177,test
S003845,CL0020,CMP0178,train
S003848,CL0020,CMP0181,train
S003849,CL0020,CMP0182,train
S003850,CL0020,CMP0183,test
S003851,CL0020,CMP0184,train
S003852,CL0020,CMP0185,train
S003853,CL0020,CMP0186,train
S003854,CL0020,CMP0187,test
S003855,CL0020,CMP0188,test
S003856,CL0020,CMP0189,train
S003857,CL0020,CMP0190,train
S003859,CL0020,CMP0192,train
S003860,CL0020,CMP0193,test
S003861,CL0020,CMP0194,train
S003862,CL0020,CMP0195,train
S003863,CL0020,CMP0196,train
S003864,CL0020,CMP0197,train
S003865,CL0020,CMP0198,train
S003867,CL0020,CMP0201,train
S003868,CL0020,CMP0203,train
S003870,CL0020,CMP0209,train
S003872,CL0020,CMP0211,train
S003874,CL0020,CMP0213,train
S003876,CL0020,CMP0218,train
S003878,CL0020,CMP0221,test
S003879,CL0020,CMP0222,train
S003880,CL0020,CMP0223,train
S003881,CL0020,CMP0230,train
S003882,CL0020,CMP0231,train
S003883,CL0020,CMP0232,test
S003884,CL0020,CMP0233,test
S003885,CL0020,CMP0234,test
S003886,CL0020,CMP0235,train
S003888,CL0020,CMP0237,train
S003889,CL0021,CMP0001,test
S003890,CL0021,CMP0002,train
S003891,CL0021,CMP0003,train
S003892,CL0021,CMP0004,train
S003894,CL0021,CMP0006,test
S003895,CL0021,CMP0008,test
S003897,CL0021,CMP0010,train
S003898,CL0021,CMP0011,train
S003901,CL0021,CMP0014,train
S003902,CL0021,CMP0015,train
S003903,CL0021,CMP0016,train
S003904,CL0021,CMP0017,train
S003905,CL0021,CMP0018,train
S003906,CL0021,CMP0019,train
S003907,CL0021,CMP0020,train
S003908,CL0021,CMP0021,train
S003910,CL0021,CMP0023,train
S003911,CL0021,CMP0024,train
S003912,CL0021,CMP0025,test
S003913,CL0021,CMP0027,train
S003914,CL0021,CMP0028,train
S003915,CL0021,CMP0029,test
S003916,CL0021,CMP0030,train
S003917,CL0021,CMP0032,train
S003919,CL0021,CMP0035,train
S003920,CL0021,CMP0036,train
S003922,CL0021,CMP0038,train
S003923,CL0021,CMP0039,train
S003925,CL0021,CMP0041,train
S003926,CL0021,CMP0042,train
S003927,CL0021,CMP0043,train
S003928,CL0021,CMP0044,test
S003929,CL0021,CMP0045,train
S003930,CL0021,CMP0046,train
S003932,CL0021,CMP0048,test
S003933,CL0021,CMP0049,train
S003934,CL0021,CMP0050,test
S003935,CL0021,CMP0051,train
S003936,CL0021,CMP0052,train
S003937,CL0021,CMP0053,train
S003938,CL0021,CMP0054,train
S003939,CL0021,CMP0055,test
S003941,CL0021,CMP0057,train
S003942,CL0021,CMP0058,test
S003943,CL0021,CMP0059,train
S003944,CL0021,CMP0060,train
S003945,CL0021,CMP0061,test
S003946,CL0021,CMP0062,train
S003947,CL0021,CMP0063,train
S003948,CL0021,CMP0064,train
S003949,CL0021,CMP0067,train
S003950,CL0021,CMP0068,train
S003951,CL0021,CMP0069,train
S003953,CL0021,CMP0072,train
S003955,CL0021,CMP0074,train
S003956,CL0021,CMP0075,train
S003957,CL0021,CMP0076,train
S003958,CL0021,CMP0077,test
S003959,CL0021,CMP0080,train
S003960,CL0021,CMP0081,test
S003961,CL0021,CMP0082,train
S003962,CL0021,CMP0083,train
S003963,CL0021,CMP0085,train
S003964,CL0021,CMP0086,train
S003965,CL0021,CMP0087,train
S003966,CL0021,CMP0088,train
S003967,CL0021,CMP0089,train
S003968,CL0021,CMP0090,train
S003969,CL0021,CMP0091,train
S003970,CL0021,CMP0092,test
S003971,CL0021,CMP0093,train
S003972,CL0021,CMP0094,train
S003974,CL0021,CMP0096,train
S003975,CL0021,CMP0097,train
S003976,CL0021,CMP0098,train
S003977,CL0021,CMP0100,test
S003978,CL0021,CMP0101,train
S003979,CL0021,CMP0102,test
S003980,CL0021,CMP0103,train
S003981,CL0021,CMP0104,test
S003982,CL0021,CMP0105,train
S003983,CL0021,CMP0106,train
S003984,CL0021,CMP0107,train
S003985,CL0021,CMP0108,train
S003986,CL0021,CMP0109,test
S003988,CL0021,CMP0111,train
S003989,CL0021,CMP0112,train
S003990,CL0021,CMP0113,train
S003991,CL0021,CMP0114,train
S003992,CL0021,CMP0115,train
S003993,CL0021,CMP0116,train
S003996,CL0021,CMP0119,train
S003997,CL0021,CMP0120,train
S003998,CL0021,CMP0121,train
S003999,CL0021,CMP0122,train
S004000,CL0021,CMP0123,train
S004001,CL0021,CMP0124,train
S004002,CL0021,CMP0125,train
S004003,CL0021,CMP0126,train
S004004,CL0021,CMP0127,train
S004005,CL0021,CMP0128,train
S004007,CL0021,CMP0130,train
S004008,CL0021,CMP0131,train
S004009,CL0021,CMP0132,train
S004010,CL0021,CMP0133,train
S004011,CL0021,CMP0134,train
S004012,CL0021,CMP0135,train
S004013,CL0021,CMP0136,train
S004015,CL0021,CMP0138,train
S004016,CL0021,CMP0139,test
S004017,CL0021,CMP0140,train
S004018,CL0021,CMP0141,train
S004020,CL0021,CMP0143,test
S004021,CL0021,CMP0144,train
S004022,CL0021,CMP0145,test
S004024,CL0021,CMP0147,train
S004025,CL0021,CMP0148,train
S004026,CL0021,CMP0149,train
S004027,CL0021,CMP0150,test
S004028,CL0021,CMP0151,test
S004029,CL0021,CMP0152,train
S004030,CL0021,CMP0153,train
S004032,CL0021,CMP0155,train
S004033,CL0021,CMP0156,train
S004034,CL0021,CMP0157,train
S004035,CL0021,CMP0158,train
S004036,CL0021,CMP0159,train
S004037,CL0021,CMP0160,train
S004039,CL0021,CMP0162,test
S004040,CL0021,CMP0163,train
S004041,CL0021,CMP0164,train
S004042,CL0021,CMP0165,train
S004044,CL0021,CMP0167,train
S004046,CL0021,CMP0169,test
S004047,CL0021,CMP0170,train
S004048,CL0021,CMP0171,train
S004049,CL0021,CMP0172,train
S004050,CL0021,CMP0173,train
S004051,CL0021,CMP0174,train
S004052,CL0021,CMP0175,train
S004053,CL0021,CMP0176,train
S004054,CL0021,CMP0177,train
S004055,CL0021,CMP0178,train
S004058,CL0021,CMP0181,train
S004059,CL0021,CMP0182,train
S004060,CL0021,CMP0183,train
S004061,CL0021,CMP0184,train
S004062,CL0021,CMP0185,train
S004063,CL0021,CMP0186,test
S004064,CL0021,CMP0187,test
S004065,CL0021,CMP0188,test
S004066,CL0021,CMP0189,train
S004067,CL0021,CMP0190,train
S004069,CL0021,CMP0192,test
S004070,CL0021,CMP0193,test
S004071,CL0021,CMP0194,train
S004072,CL0021,CMP0195,train
S004073,CL0021,CMP0196,train
S004074,CL0021,CMP0197,train
S004075,CL0021,CMP0198,train
S004076,CL0021,CMP0199,train
S004078,CL0021,CMP0201,train
S004079,CL0021,CMP0202,train
S004080,CL0021,CMP0203,train
S004081,CL0021,CMP0204,train
S004082,CL0021,CMP0205,train
S004083,CL0021,CMP0206,train
S004084,CL0021,CMP0207,train
S004086,CL0021,CMP0209,train
S004088,CL0021,CMP0211,train
S004090,CL0021,CMP0213,train
S004091,CL0021,CMP0214,train
S004093,CL0021,CMP0216,train
S004094,CL0021,CMP0218,train
S004095,CL0021,CMP0219,train
S004097,CL0021,CMP0221,train
S004098,CL0021,CMP0222,train
S004099,CL0021,CMP0223,test
S004100,CL0021,CMP0224,train
S004101,CL0021,CMP0225,train
S004102,CL0021,CMP0226,test
S004104,CL0021,CMP0228,test
S004105,CL0021,CMP0229,train
S004106,CL0021,CMP0231,train
S004107,CL0021,CMP0232,train
S004108,CL0021,CMP0233,train
S004109,CL0021,CMP0234,train
S004110,CL0021,CMP0237,train
S004111,CL0021,CMP0238,train
S004112,CL0021,CMP0239,train
S004113,CL0021,CMP0240,train
S004114,CL0021,CMP0241,train
S004115,CL0021,CMP0242,test
S004116,CL0022,CMP0001,train
S004118,CL0022,CMP0006,train
S004120,CL0022,CMP0008,train
S004122,CL0022,CMP0010,train
S004123,CL0022,CMP0011,test
S004126,CL0022,CMP0014,train
S004127,CL0022,CMP0015,train
S004128,CL0022,CMP0016,train
S004129,CL0022,CMP0017,train
S004130,CL0022,CMP0018,test
S004131,CL0022,CMP0019,test
S004132,CL0022,CMP0020,test
S004133,CL0022,CMP0021,test
S004135,CL0022,CMP0023,train
S004136,CL0022,CMP0024,test
S004137,CL0022,CMP0025,train
S004138,CL0022,CMP0026,train
S004139,CL0022,CMP0027,test
S004140,CL0022,CMP0028,train
S004141,CL0022,CMP0029,train
S004142,CL0022,CMP0030,train
S004143,CL0022,CMP0031,train
S004144,CL0022,CMP0032,train
S004145,CL0022,CMP0033,test
S004147,CL0022,CMP0035,train
S004148,CL0022,CMP0036,train
S004150,CL0022,CMP0038,test
S004151,CL0022,CMP0039,train
S004153,CL0022,CMP0041,train
S004154,CL0022,CMP0042,train
S004155,CL0022,CMP0043,train
S004156,CL0022,CMP0044,test
S004157,CL0022,CMP0045,train
S004158,CL0022,CMP0046,train
S004159,CL0022,CMP0048,train
S004160,CL0022,CMP0049,train
S004161,CL0022,CMP0050,test
S004162,CL0022,CMP0051,train
S004163,CL0022,CMP0052,train
S004164,CL0022,CMP0053,train
S004165,CL0022,CMP0054,train
S004166,CL0022,CMP0055,train
S004168,CL0022,CMP0057,train
S004169,CL0022,CMP0058,test
S004170,CL0022,CMP0059,test
S004171,CL0022,CMP0060,train
S004172,CL0022,CMP0061,train
S004173,CL0022,CMP0062,train
S004174,CL0022,CMP0063,train
S004175,CL0022,CMP0064,train
S004176,CL0022,CMP0065,train
S004177,CL0022,CMP0066,train
S004178,CL0022,CMP0067,train
S004179,CL0022,CMP0068,train
S004182,CL0022,CMP0072,train
S004184,CL0022,CMP0074,train
S004185,CL0022,CMP0075,train
S004186,CL0022,CMP0076,train
S004187,CL0022,CMP0077,train
S004188,CL0022,CMP0078,train
S004189,CL0022,CMP0079,train
S004190,CL0022,CMP0080,train
S004191,CL0022,CMP0081,test
S004192,CL0022,CMP0082,train
S004193,CL0022,CMP0083,test
S004194,CL0022,CMP0084,train
S004195,CL0022,CMP0085,train
S004196,CL0022,CMP0086,test
S004197,CL0022,CMP0087,test
S004198,CL0022,CMP0088,test
S004199,CL0022,CMP0089,test
S004200,CL0022,CMP0090,test
S004201,CL0022,CMP0091,train
S004202,CL0022,CMP0092,test
S004203,CL0022,CMP0094,test
S004205,CL0022,CMP0096,test
S004206,CL0022,CMP0097,train
S004207,CL0022,CMP0098,train
S004208,CL0022,CMP0099,train
S004209,CL0022,CMP0100,train
S004210,CL0022,CMP0101,train
S004211,CL0022,CMP0102,train
S004212,CL0022,CMP0103,train
S004213,CL0022,CMP0104,train
S004214,CL0022,CMP0105,test
S004215,CL0022,CMP0106,train
S004216,CL0022,CMP0107,train
S004217,CL0022,CMP0108,train
S004218,CL0022,CMP0109,train
S004220,CL0022,CMP0111,train
S004221,CL0022,CMP0112,test
S004222,CL0022,CMP0113,test
S004223,CL0022,CMP0114,test
S004224,CL0022,CMP0115,train
S004225,CL0022,CMP0116,test
S004228,CL0022,CMP0119,train
S004229,CL0022,CMP0120,train
S004230,CL0022,CMP0121,train
S004231,CL0022,CMP0122,train
S004232,CL0022,CMP0123,train
S004233,CL0022,CMP0124,train
S004234,CL0022,CMP0125,train
S004235,CL0022,CMP0126,test
S004236,CL0022,CMP0127,train
S004237,CL0022,CMP0128,train
S004239,CL0022,CMP0130,train
S004240,CL0022,CMP0131,test
S004241,CL0022,CMP0132,train
S004242,CL0022,CMP0133,train
S004243,CL0022,CMP0134,train
S004244,CL0022,CMP0135,train
S004245,CL0022,CMP0136,test
S004247,CL0022,CMP0138,train
S004248,CL0022,CMP0139,test
S004249,CL0022,CMP0140,test
S004250,CL0022,CMP0141,train
S004252,CL0022,CMP0143,train
S004253,CL0022,CMP0144,test
S004254,CL0022,CMP0145,train
S004256,CL0022,CMP0147,test
S004257,CL0022,CMP0148,train
S004258,CL0022,CMP0149,train
S004259,CL0022,CMP0150,train
S004260,CL0022,CMP0151,train
S004261,CL0022,CMP0152,train
S004262,CL0022,CMP0153,train
S004264,CL0022,CMP0155,train
S004265,CL0022,CMP0156,train
S004266,CL0022,CMP0157,train
S004267,CL0022,CMP0158,train
S004268,CL0022,CMP0159,train
S004269,CL0022,CMP0160,test
S004271,CL0022,CMP0162,train
S004272,CL0022,CMP0163,train
S004273,CL0022,CMP0164,test
S004274,CL0022,CMP0165,test
S004276,CL0022,CMP0167,train
S004278,CL0022,CMP0169,train
S004279,CL0022,CMP0170,train
S004280,CL0022,CMP0171,test
S004281,CL0022,CMP0172,train
S004282,CL0022,CMP0173,train
S004283,CL0022,CMP0174,train
S004284,CL0022,CMP0175,test
S004285,CL0022,CMP0176,test
S004286,CL0022,CMP0177,train
S004287,CL0022,CMP0178,test
S004290,CL0022,CMP0181,train
S004291,CL0022,CMP0182,test
S004292,CL0022,CMP0183,train
S004293,CL0022,CMP0184,train
S004294,CL0022,CMP0185,test
S004295,CL0022,CMP0186,train
S004296,CL0022,CMP0187,train
S004297,CL0022,CMP0188,train
S004298,CL0022,CMP0189,test
S004299,CL0022,CMP0190,train
S004301,CL0022,CMP0192,train
S004302,CL0022,CMP0193,train
S004303,CL0022,CMP0194,train
S004304,CL0022,CMP0195,train
S004305,CL0022,CMP0196,train
S004306,CL0022,CMP0197,train
S004307,CL0022,CMP0198,train
S004309,CL0022,CMP0201,train
S004310,CL0022,CMP0203,test
S004312,CL0022,CMP0209,train
S004314,CL0022,CMP0211,train
S004316,CL0022,CMP0213,train
S004318,CL0022,CMP0218,train
S004320,CL0022,CMP0221,test
S004321,CL0022,CMP0222,train
S004322,CL0022,CMP0223,test
S004323,CL0022,CMP0230,test
S004324,CL0022,CMP0231,train
S004325,CL0022,CMP0232,test
S004326,CL0022,CMP0233,test
S004327,CL0022,CMP0234,test
S004328,CL0022,CMP0235,train
S004330,CL0022,CMP0237,train
S004331,CL0023,CMP0001,train
S004333,CL0023,CMP0006,train
S004335,CL0023,CMP0008,test
S004337,CL0023,CMP0010,test
S004338,CL0023,CMP0011,train
S004341,CL0023,CMP0014,test
S004342,CL0023,CMP0015,train
S004343,CL0023,CMP0016,train
S004344,CL0023,CMP0017,train
S004345,CL0023,CMP0018,train
S004346,CL0023,CMP0019,train
S004347,CL0023,CMP0020,test
S004348,CL0023,CMP0021,train
S004350,CL0023,CMP0023,train
S004351,CL0023,CMP0024,train
S004352,CL0023,CMP0025,train
S004353,CL0023,CMP0026,test
S004354,CL0023,CMP0027,train
S004355,CL0023,CMP0028,train
S004356,CL0023,CMP0029,train
S004357,CL0023,CMP0030,train
S004358,CL0023,CMP0031,train
S004359,CL0023,CMP0032,train
S004360,CL0023,CMP0033,train
S004362,CL0023,CMP0035,train
S004363,CL0023,CMP0036,train
S004365,CL0023,CMP0038,train
S004366,CL0023,CMP0039,train
S004368,CL0023,CMP0041,train
S004369,CL0023,CMP0042,test
S004370,CL0023,CMP0043,test
S004371,CL0023,CMP0044,train
S004372,CL0023,CMP0045,train
S004373,CL0023,CMP0046,train
S004374,CL0023,CMP0048,train
S004375,CL0023,CMP0049,train
S004376,CL0023,CMP0050,train
S004377,CL0023,CMP0051,train
S004378,CL0023,CMP0053,train
S004379,CL0023,CMP0054,train
S004380,CL0023,CMP0055,train
S004382,CL0023,CMP0057,train
S004383,CL0023,CMP0058,train
S004384,CL0023,CMP0059,train
S004385,CL0023,CMP0060,train
S004386,CL0023,CMP0061,train
S004387,CL0023,CMP0062,train
S004388,CL0023,CMP0063,test
S004389,CL0023,CMP0064,test
S004390,CL0023,CMP0065,train
S004391,CL0023,CMP0066,test
S004392,CL0023,CMP0067,train
S004393,CL0023,CMP0068,train
S004396,CL0023,CMP0072,train
S004398,CL0023,CMP0074,train
S004399,CL0023,CMP0075,train
S004400,CL0023,CMP0076,train
S004401,CL0023,CMP0077,train
S004402,CL0023,CMP0078,test
S004403,CL0023,CMP0079,train
S004404,CL0023,CMP0080,test
S004405,CL0023,CMP0081,train
S004406,CL0023,CMP0082,train
S004407,CL0023,CMP0083,train
S004408,CL0023,CMP0084,train
S004409,CL0023,CMP0085,train
S004410,CL0023,CMP0086,train
S004411,CL0023,CMP0087,train
S004412,CL0023,CMP0088,train
S004413,CL0023,CMP0089,train
S004414,CL0023,CMP0090,train
S004415,CL0023,CMP0091,train
S004416,CL0023,CMP0092,train
S004417,CL0023,CMP0098,train
S004418,CL0023,CMP0099,train
S004419,CL0023,CMP0100,train
S004420,CL0023,CMP0101,train
S004421,CL0023,CMP0102,test
S004422,CL0023,CMP0103,test
S004423,CL0023,CMP0104,train
S004424,CL0023,CMP0105,train
S004425,CL0023,CMP0106,train
S004426,CL0023,CMP0107,train
S004427,CL0023,CMP0108,test
S004428,CL0023,CMP0109,train
S004430,CL0023,CMP0111,test
S004431,CL0023,CMP0112,train
S004432,CL0023,CMP0113,train
S004433,CL0023,CMP0114,train
S004434,CL0023,CMP0115,train
S004435,CL0023,CMP0120,train
S004436,CL0023,CMP0121,train
S004437,CL0023,CMP0122,test
S004438,CL0023,CMP0123,train
S004439,CL0023,CMP0124,train
S004440,CL0023,CMP0125,train
S004441,CL0023,CMP0126,train
S004442,CL0023,CMP0127,test
S004443,CL0023,CMP0128,train
S004445,CL0023,CMP0130,train
S004446,CL0023,CMP0131,train
S004447,CL0023,CMP0132,train
S004448,CL0023,CMP0133,train
S004449,CL0023,CMP0134,test
S004450,CL0023,CMP0135,train
S004451,CL0023,CMP0136,test
S004453,CL0023,CMP0138,train
S004454,CL0023,CMP0139,test
S004455,CL0023,CMP0140,train
S004456,CL0023,CMP0145,train
S004458,CL0023,CMP0171,train
S004459,CL0023,CMP0172,train
S004460,CL0023,CMP0173,train
S004461,CL0023,CMP0174,train
S004462,CL0023,CMP0175,train
S004463,CL0023,CMP0176,train
S004464,CL0023,CMP0177,train
