sample_id,cell_id,compound_id,cell_group,oncotree_lineage,role
S001711,CL0009,CMP0213,CG_CL0009,Lung,test
S001712,CL0009,CMP0215,CG_CL0009,Lung,test
S001713,CL0009,CMP0218,CG_CL0009,Lung,test
S001714,CL0009,CMP0220,CG_CL0009,Lung,test
S001715,CL0009,CMP0221,CG_CL0009,Lung,test
S001716,CL0009,CMP0222,CG_CL0009,Lung,test
S001717,CL0009,CMP0223,CG_CL0009,Lung,test
S001718,CL0009,CMP0230,CG_CL0009,Lung,test
S001719,CL0009,CMP0231,CG_CL0009,Lung,test
S001720,CL0009,CMP0232,CG_CL0009,Lung,test
S001721,CL0009,CMP0233,CG_CL0009,Lung,test
S001722,CL0009,CMP0234,CG_CL0009,Lung,test
S001723,CL0009,CMP0235,CG_CL0009,Lung,test
S001724,CL0009,CMP0236,CG_CL0009,Lung,test
S001725,CL0009,CMP0237,CG_CL0009,Lung,test
S003711,CL0020,CMP0001,CG_CL0020,Head and Neck,test
S003712,CL0020,CMP0005,CG_CL0020,Head and Neck,test
S003713,CL0020,CMP0006,CG_CL0020,Head and Neck,test
S003714,CL0020,CMP0007,CG_CL0020,Head and Neck,test
S003715,CL0020,CMP0008,CG_CL0020,Head and Neck,test
S003716,CL0020,CMP0009,CG_CL0020,Head and Neck,test
S003717,CL0020,CMP0010,CG_CL0020,Head and Neck,test
S003720,CL0020,CMP0013,CG_CL0020,Head and Neck,test
S003721,CL0020,CMP0014,CG_CL0020,Head and Neck,test
S003722,CL0020,CMP0015,CG_CL0020,Head and Neck,test
S003723,CL0020,CMP0016,CG_CL0020,Head and Neck,test
S003724,CL0020,CMP0017,CG_CL0020,Head and Neck,test
S003725,CL0020,CMP0018,CG_CL0020,Head and Neck,test
S003726,CL0020,CMP0019,CG_CL0020,Head and Neck,test
S003727,CL0020,CMP0020,CG_CL0020,Head and Neck,test
S003728,CL0020,CMP0021,CG_CL0020,Head and Neck,test
S003729,CL0020,CMP0022,CG_CL0020,Head and Neck,test
S003730,CL0020,CMP0023,CG_CL0020,Head and Neck,test
S003731,CL0020,CMP0024,CG_CL0020,Head and Neck,test
S003734,CL0020,CMP0027,CG_CL0020,Head and Neck,test
S003735,CL0020,CMP0028,CG_CL0020,Head and Neck,test
S003736,CL0020,CMP0029,CG_CL0020,Head and Neck,test
S003737,CL0020,CMP0030,CG_CL0020,Head and Neck,test
S003738,CL0020,CMP0031,CG_CL0020,Head and Neck,test
S003741,CL0020,CMP0034,CG_CL0020,Head and Neck,test
S003742,CL0020,CMP0035,CG_CL0020,Head and Neck,test
S003743,CL0020,CMP0036,CG_CL0020,Head and Neck,test
S003744,CL0020,CMP0037,CG_CL0020,Head and Neck,test
S003745,CL0020,CMP0038,CG_CL0020,Head and Neck,test
S003746,CL0020,CMP0039,CG_CL0020,Head and Neck,test
S003747,CL0020,CMP0040,CG_CL0020,Head and Neck,test
S003748,CL0020,CMP0041,CG_CL0020,Head and Neck,test
S003749,CL0020,CMP0042,CG_CL0020,Head and Neck,test
S003750,CL0020,CMP0043,CG_CL0020,Head and Neck,test
S003751,CL0020,CMP0044,CG_CL0020,Head and Neck,test
S003752,CL0020,CMP0045,CG_CL0020,Head and Neck,test
S003753,CL0020,CMP0046,CG_CL0020,Head and Neck,test
S003754,CL0020,CMP0048,CG_CL0020,Head and Neck,test
S003755,CL0020,CMP0049,CG_CL0020,Head and Neck,test
S003756,CL0020,CMP0050,CG_CL0020,Head and Neck,test
S003758,CL0020,CMP0053,CG_CL0020,Head and Neck,test
S003759,CL0020,CMP0054,CG_CL0020,Head and Neck,test
S003760,CL0020,CMP0055,CG_CL0020,Head and Neck,test
S003761,CL0020,CMP0056,CG_CL0020,Head and Neck,test
S003762,CL0020,CMP0057,CG_CL0020,Head and Neck,test
S003763,CL0020,CMP0058,CG_CL0020,Head and Neck,test
S003764,CL0020,CMP0059,CG_CL0020,Head and Neck,test
S003765,CL0020,CMP0060,CG_CL0020,Head and Neck,test
S003766,CL0020,CMP0061,CG_CL0020,Head and Neck,test
S003767,CL0020,CMP0062,CG_CL0020,Head and Neck,test
S003768,CL0020,CMP0063,CG_CL0020,Head and Neck,test
S003769,CL0020,CMP0064,CG_CL0020,Head and Neck,test
S003770,CL0020,CMP0065,CG_CL0020,Head and Neck,test
S003772,CL0020,CMP0067,CG_CL0020,Head and Neck,test
S003773,CL0020,CMP0068,CG_CL0020,Head and Neck,test
S003774,CL0020,CMP0070,CG_CL0020,Head and Neck,test
S003776,CL0020,CMP0072,CG_CL0020,Head and Neck,test
S003777,CL0020,CMP0073,CG_CL0020,Head and Neck,test
S003778,CL0020,CMP0074,CG_CL0020,Head and Neck,test
S003779,CL0020,CMP0075,CG_CL0020,Head and Neck,test
S003780,CL0020,CMP0076,CG_CL0020,Head and Neck,test
S003781,CL0020,CMP0077,CG_CL0020,Head and Neck,test
S003782,CL0020,CMP0078,CG_CL0020,Head and Neck,test
S003783,CL0020,CMP0079,CG_CL0020,Head and Neck,test
S003785,CL0020,CMP0081,CG_CL0020,Head and Neck,test
S003786,CL0020,CMP0082,CG_CL0020,Head and Neck,test
S003787,CL0020,CMP0083,CG_CL0020,Head and Neck,test
S003788,CL0020,CMP0084,CG_CL0020,Head and Neck,test
S003789,CL0020,CMP0085,CG_CL0020,Head and Neck,test
S003790,CL0020,CMP0086,CG_CL0020,Head and Neck,test
S003791,CL0020,CMP0087,CG_CL0020,Head and Neck,test
S003793,CL0020,CMP0089,CG_CL0020,Head and Neck,test
S003794,CL0020,CMP0090,CG_CL0020,Head and Neck,test
S003795,CL0020,CMP0091,CG_CL0020,Head and Neck,test
S003796,CL0020,CMP0092,CG_CL0020,Head and Neck,test
S003797,CL0020,CMP0098,CG_CL0020,Head and Neck,test
S003799,CL0020,CMP0100,CG_CL0020,Head and Neck,test
S003800,CL0020,CMP0101,CG_CL0020,Head and Neck,test
S003802,CL0020,CMP0103,CG_CL0020,Head and Neck,test
S003803,CL0020,CMP0104,CG_CL0020,Head and Neck,test
S003804,CL0020,CMP0105,CG_CL0020,Head and Neck,test
S003805,CL0020,CMP0106,CG_CL0020,Head and Neck,test
S003807,CL0020,CMP0108,CG_CL0020,Head and Neck,test
S003808,CL0020,CMP0109,CG_CL0020,Head and Neck,test
S003809,CL0020,CMP0110,CG_CL0020,Head and Neck,test
S003811,CL0020,CMP0112,CG_CL0020,Head and Neck,test
S003812,CL0020,CMP0113,CG_CL0020,Head and Neck,test
S003813,CL0020,CMP0114,CG_CL0020,Head and Neck,test
S003814,CL0020,CMP0115,CG_CL0020,Head and Neck,test
S003816,CL0020,CMP0121,CG_CL0020,Head and Neck,test
S003817,CL0020,CMP0122,CG_CL0020,Head and Neck,test
S003818,CL0020,CMP0123,CG_CL0020,Head and Neck,test
S003819,CL0020,CMP0124,CG_CL0020,Head and Neck,test
S003820,CL0020,CMP0125,CG_CL0020,Head and Neck,test
S003821,CL0020,CMP0126,CG_CL0020,Head and Neck,test
S003822,CL0020,CMP0127,CG_CL0020,Head and Neck,test
S003823,CL0020,CMP0128,CG_CL0020,Head and Neck,test
S003824,CL0020,CMP0129,CG_CL0020,Head and Neck,test
S003825,CL0020,CMP0130,CG_CL0020,Head and Neck,test
S003826,CL0020,CMP0131,CG_CL0020,Head and Neck,test
S003828,CL0020,CMP0133,CG_CL0020,Head and Neck,test
S003829,CL0020,CMP0134,CG_CL0020,Head and Neck,test
S003830,CL0020,CMP0135,CG_CL0020,Head and Neck,test
S003832,CL0020,CMP0137,CG_CL0020,Head and Neck,test
S003833,CL0020,CMP0138,CG_CL0020,Head and Neck,test
S003834,CL0020,CMP0139,CG_CL0020,Head and Neck,test
S003836,CL0020,CMP0145,CG_CL0020,Head and Neck,test
S003837,CL0020,CMP0146,CG_CL0020,Head and Neck,test
S003838,CL0020,CMP0171,CG_CL0020,Head and Neck,test
S003839,CL0020,CMP0172,CG_CL0020,Head and Neck,test
S003840,CL0020,CMP0173,CG_CL0020,Head and Neck,test
S003842,CL0020,CMP0175,CG_CL0020,Head and Neck,test
S003843,CL0020,CMP0176,CG_CL0020,Head and Neck,test
S003844,CL0020,CMP0177,CG_CL0020,Head and Neck,test
S003845,CL0020,CMP0178,CG_CL0020,Head and Neck,test
S003846,CL0020,CMP0179,CG_CL0020,Head and Neck,test
S003847,CL0020,CMP0180,CG_CL0020,Head and Neck,test
S003848,CL0020,CMP0181,CG_CL0020,Head and Neck,test
S003849,CL0020,CMP0182,CG_CL0020,Head and Neck,test
S003850,CL0020,CMP0183,CG_CL0020,Head and Neck,test
S003852,CL0020,CMP0185,CG_CL0020,Head and Neck,test
S003853,CL0020,CMP0186,CG_CL0020,Head and Neck,test
S003854,CL0020,CMP0187,CG_CL0020,Head and Neck,test
S003855,CL0020,CMP0188,CG_CL0020,Head and Neck,test
S003856,CL0020,CMP0189,CG_CL0020,Head and Neck,test
S003857,CL0020,CMP0190,CG_CL0020,Head and Neck,test
S003858,CL0020,CMP0191,CG_CL0020,Head and Neck,test
S003859,CL0020,CMP0192,CG_CL0020,Head and Neck,test
S003860,CL0020,CMP0193,CG_CL0020,Head and Neck,test
S003861,CL0020,CMP0194,CG_CL0020,Head and Neck,test
S003862,CL0020,CMP0195,CG_CL0020,Head and Neck,test
S003863,CL0020,CMP0196,CG_CL0020,Head and Neck,test
S003864,CL0020,CMP0197,CG_CL0020,Head and Neck,test
S003866,CL0020,CMP0200,CG_CL0020,Head and Neck,test
S003867,CL0020,CMP0201,CG_CL0020,Head and Neck,test
S003868,CL0020,CMP0203,CG_CL0020,Head and Neck,test
S003869,CL0020,CMP0208,CG_CL0020,Head and Neck,test
S003870,CL0020,CMP0209,CG_CL0020,Head and Neck,test
S003871,CL0020,CMP0210,CG_CL0020,Head and Neck,test
S003872,CL0020,CMP0211,CG_CL0020,Head and Neck,test
S003874,CL0020,CMP0213,CG_CL0020,Head and Neck,test
S003875,CL0020,CMP0215,CG_CL0020,Head and Neck,test
S003876,CL0020,CMP0218,CG_CL0020,Head and Neck,test
S003877,CL0020,CMP0220,CG_CL0020,Head and Neck,test
S003878,CL0020,CMP0221,CG_CL0020,Head and Neck,test
S003879,CL0020,CMP0222,CG_CL0020,Head and Neck,test
S003880,CL0020,CMP0223,CG_CL0020,Head and Neck,test
S003881,CL0020,CMP0230,CG_CL0020,Head and Neck,test
S003882,CL0020,CMP0231,CG_CL0020,Head and Neck,test
S003883,CL0020,CMP0232,CG_CL0020,Head and Neck,test
S003884,CL0020,CMP0233,CG_CL0020,Head and Neck,test
S003885,CL0020,CMP0234,CG_CL0020,Head and Neck,test
S003886,CL0020,CMP0235,CG_CL0020,Head and Neck,test
S003887,CL0020,CMP0236,CG_CL0020,Head and Neck,test
S003888,CL0020,CMP0237,CG_CL0020,Head and Neck,test
S003889,CL0021,CMP0001,CG_CL0021,Ovary/Fallopian Tube,test
S003890,CL0021,CMP0002,CG_CL0021,Ovary/Fallopian Tube,test
S003891,CL0021,CMP0003,CG_CL0021,Ovary/Fallopian Tube,test
S003892,CL0021,CMP0004,CG_CL0021,Ovary/Fallopian Tube,test
S003893,CL0021,CMP0005,CG_CL0021,Ovary/Fallopian Tube,test
S003894,CL0021,CMP0006,CG_CL0021,Ovary/Fallopian Tube,test
S003895,CL0021,CMP0008,CG_CL0021,Ovary/Fallopian Tube,test
S003896,CL0021,CMP0009,CG_CL0021,Ovary/Fallopian Tube,test
S003897,CL0021,CMP0010,CG_CL0021,Ovary/Fallopian Tube,test
S003900,CL0021,CMP0013,CG_CL0021,Ovary/Fallopian Tube,test
S003901,CL0021,CMP0014,CG_CL0021,Ovary/Fallopian Tube,test
S003902,CL0021,CMP0015,CG_CL0021,Ovary/Fallopian Tube,test
S003903,CL0021,CMP0016,CG_CL0021,Ovary/Fallopian Tube,test
S003904,CL0021,CMP0017,CG_CL0021,Ovary/Fallopian Tube,test
S003905,CL0021,CMP0018,CG_CL0021,Ovary/Fallopian Tube,test
S003906,CL0021,CMP0019,CG_CL0021,Ovary/Fallopian Tube,test
S003907,CL0021,CMP0020,CG_CL0021,Ovary/Fallopian Tube,test
S003908,CL0021,CMP0021,CG_CL0021,Ovary/Fallopian Tube,test
S003909,CL0021,CMP0022,CG_CL0021,Ovary/Fallopian Tube,test
S003910,CL0021,CMP0023,CG_CL0021,Ovary/Fallopian Tube,test
S003911,CL0021,CMP0024,CG_CL0021,Ovary/Fallopian Tube,test
S003913,CL0021,CMP0027,CG_CL0021,Ovary/Fallopian Tube,test
S003914,CL0021,CMP0028,CG_CL0021,Ovary/Fallopian Tube,test
S003915,CL0021,CMP0029,CG_CL0021,Ovary/Fallopian Tube,test
S003916,CL0021,CMP0030,CG_CL0021,Ovary/Fallopian Tube,test
S003918,CL0021,CMP0034,CG_CL0021,Ovary/Fallopian Tube,test
S003919,CL0021,CMP0035,CG_CL0021,Ovary/Fallopian Tube,test
S003920,CL0021,CMP0036,CG_CL0021,Ovary/Fallopian Tube,test
S003921,CL0021,CMP0037,CG_CL0021,Ovary/Fallopian Tube,test
S003922,CL0021,CMP0038,CG_CL0021,Ovary/Fallopian Tube,test
S003923,CL0021,CMP0039,CG_CL0021,Ovary/Fallopian Tube,test
S003924,CL0021,CMP0040,CG_CL0021,Ovary/Fallopian Tube,test
S003925,CL0021,CMP0041,CG_CL0021,Ovary/Fallopian Tube,test
S003926,CL0021,CMP0042,CG_CL0021,Ovary/Fallopian Tube,test
S003927,CL0021,CMP0043,CG_CL0021,Ovary/Fallopian Tube,test
S003928,CL0021,CMP0044,CG_CL0021,Ovary/Fallopian Tube,test
S003929,CL0021,CMP0045,CG_CL0021,Ovary/Fallopian Tube,test
S003930,CL0021,CMP0046,CG_CL0021,Ovary/Fallopian Tube,test
S003931,CL0021,CMP0047,CG_CL0021,Ovary/Fallopian Tube,test
S003932,CL0021,CMP0048,CG_CL0021,Ovary/Fallopian Tube,test
S003933,CL0021,CMP0049,CG_CL0021,Ovary/Fallopian Tube,test
S003934,CL0021,CMP0050,CG_CL0021,Ovary/Fallopian Tube,test
S003937,CL0021,CMP0053,CG_CL0021,Ovary/Fallopian Tube,test
S003938,CL0021,CMP0054,CG_CL0021,Ovary/Fallopian Tube,test
S003939,CL0021,CMP0055,CG_CL0021,Ovary/Fallopian Tube,test
S003940,CL0021,CMP0056,CG_CL0021,Ovary/Fallopian Tube,test
S003941,CL0021,CMP0057,CG_CL0021,Ovary/Fallopian Tube,test
S003942,CL0021,CMP0058,CG_CL0021,Ovary/Fallopian Tube,test
S003943,CL0021,CMP0059,CG_CL0021,Ovary/Fallopian Tube,test
S003944,CL0021,CMP0060,CG_CL0021,Ovary/Fallopian Tube,test
S003945,CL0021,CMP0061,CG_CL0021,Ovary/Fallopian Tube,test
S003946,CL0021,CMP0062,CG_CL0021,Ovary/Fallopian Tube,test
S003947,CL0021,CMP0063,CG_CL0021,Ovary/Fallopian Tube,test
S003948,CL0021,CMP0064,CG_CL0021,Ovary/Fallopian Tube,test
S003949,CL0021,CMP0067,CG_CL0021,Ovary/Fallopian Tube,test
S003950,CL0021,CMP0068,CG_CL0021,Ovary/Fallopian Tube,test
S003951,CL0021,CMP0069,CG_CL0021,Ovary/Fallopian Tube,test
S003952,CL0021,CMP0070,CG_CL0021,Ovary/Fallopian Tube,test
S003953,CL0021,CMP0072,CG_CL0021,Ovary/Fallopian Tube,test
S003954,CL0021,CMP0073,CG_CL0021,Ovary/Fallopian Tube,test
S003955,CL0021,CMP0074,CG_CL0021,Ovary/Fallopian Tube,test
S003956,CL0021,CMP0075,CG_CL0021,Ovary/Fallopian Tube,test
S003957,CL0021,CMP0076,CG_CL0021,Ovary/Fallopian Tube,test
S003958,CL0021,CMP0077,CG_CL0021,Ovary/Fallopian Tube,test
S003960,CL0021,CMP0081,CG_CL0021,Ovary/Fallopian Tube,test
S003961,CL0021,CMP0082,CG_CL0021,Ovary/Fallopian Tube,test
S003962,CL0021,CMP0083,CG_CL0021,Ovary/Fallopian Tube,test
S003963,CL0021,CMP0085,CG_CL0021,Ovary/Fallopian Tube,test
S003964,CL0021,CMP0086,CG_CL0021,Ovary/Fallopian Tube,test
S003965,CL0021,CMP0087,CG_CL0021,Ovary/Fallopian Tube,test
S003967,CL0021,CMP0089,CG_CL0021,Ovary/Fallopian Tube,test
S003968,CL0021,CMP0090,CG_CL0021,Ovary/Fallopian Tube,test
S003969,CL0021,CMP0091,CG_CL0021,Ovary/Fallopian Tube,test
S003970,CL0021,CMP0092,CG_CL0021,Ovary/Fallopian Tube,test
S003971,CL0021,CMP0093,CG_CL0021,Ovary/Fallopian Tube,test
S003972,CL0021,CMP0094,CG_CL0021,Ovary/Fallopian Tube,test
S003973,CL0021,CMP0095,CG_CL0021,Ovary/Fallopian Tube,test
S003974,CL0021,CMP0096,CG_CL0021,Ovary/Fallopian Tube,test
S003975,CL0021,CMP0097,CG_CL0021,Ovary/Fallopian Tube,test
S003976,CL0021,CMP0098,CG_CL0021,Ovary/Fallopian Tube,test
S003977,CL0021,CMP0100,CG_CL0021,Ovary/Fallopian Tube,test
S003978,CL0021,CMP0101,CG_CL0021,Ovary/Fallopian Tube,test
S003980,CL0021,CMP0103,CG_CL0021,Ovary/Fallopian Tube,test
S003981,CL0021,CMP0104,CG_CL0021,Ovary/Fallopian Tube,test
S003982,CL0021,CMP0105,CG_CL0021,Ovary/Fallopian Tube,test
S003983,CL0021,CMP0106,CG_CL0021,Ovary/Fallopian Tube,test
S003985,CL0021,CMP0108,CG_CL0021,Ovary/Fallopian Tube,test
S003986,CL0021,CMP0109,CG_CL0021,Ovary/Fallopian Tube,test
S003987,CL0021,CMP0110,CG_CL0021,Ovary/Fallopian Tube,test
S003989,CL0021,CMP0112,CG_CL0021,Ovary/Fallopian Tube,test
S003990,CL0021,CMP0113,CG_CL0021,Ovary/Fallopian Tube,test
